booking_id,customer_id,customer_name,customer_segment,customer_signup_date,customer_home_city,customer_loyalty_tier,property_id,property_name,property_city,property_star_rating,property_type,property_total_rooms,booking_date,checkin_date,checkout_date,room_type,num_rooms,nights,booking_channel,adr,discount_amount,coupon_code,total_amount,payment_method,booking_status,review_rating,review_date
100055,723,Customer_723,Individual,2023-01-06,Goa,None,16,Banyan Residency,Delhi,3,Budget,60,2024-04-22,2024-05-07,2024-05-10,Standard,0,3,OTA,2505.28,960.13,WELCOME,0.0,Debit Card,Completed,,
100101,73,Customer_73,Group,2023-07-08,Chennai,None,40,Mango Lodge,Bangalore,3,Mid-Range,40,2024-05-22,2024-05-29,2024-05-31,Suite,0,2,Corporate Portal,9289.49,0.0,NONE,0.0,Debit Card,Completed,5.0,2024-06-14
100372,657,Customer_657,Individual,2023-12-08,Jaipur,Silver,7,Royal Orchid,Chennai,4,Budget,80,2024-04-05,2024-04-30,2024-05-01,Standard,0,1,OTA,2369.62,0.0,,0.0,Net Banking,Cancelled,,
100385,13,Customer_13,Individual,2023-11-25,Chennai,Silver,35,Maple Retreat,Bangalore,2,Premium,100,2024-05-01,2024-05-16,2024-05-17,Standard,0,1,Travel Agent,8848.19,0.0,,0.0,UPI,Completed,5.0,2024-05-24
100403,447,Customer_447,Individual,2022-02-19,Kochi,Platinum,27,Saffron Residency,Pune,3,Mid-Range,80,2024-02-29,2024-04-29,2024-05-02,Deluxe,0,3,Travel Agent,5306.07,0.0,NONE,0.0,UPI,Cancelled,,
100410,286,Customer_286,Group,2023-03-08,Delhi,None,48,Amber Manor,Chennai,3,Premium,100,2024-01-21,2024-01-28,2024-01-31,Standard,0,3,OTA,7773.38,0.0,NONE,0.0,UPI,Completed,,
100451,394,Customer_394,Individual,2022-09-04,Manali,None,18,Coral Haven,Pune,4,Mid-Range,150,2024-11-05,2024-11-30,2024-12-02,Suite,0,2,OTA,10364.16,2715.51,WELCOME,0.0,Credit Card,Completed,4.0,2024-12-16
100496,411,Customer_411,Corporate,2022-09-24,Delhi,Platinum,19,Marigold Palace,Delhi,4,Mid-Range,60,2023-12-17,2024-01-26,2024-01-28,Standard,0,2,OTA,5248.13,0.0,NONE,0.0,Net Banking,Cancelled,,
100622,351,Customer_351,Corporate,2023-11-06,Manali,None,37,Olive Lodge,Udaipur,3,Budget,40,2024-11-15,2024-11-22,2024-11-23,Suite,0,1,OTA,6307.61,0.0,,0.0,Net Banking,Completed,10.0,2024-12-12
100651,669,Customer_669,Corporate,2023-12-21,Kochi,Platinum,4,Sea Breeze Resort,Goa,4,Mid-Range,80,2024-12-07,2024-12-22,2024-12-23,Standard,0,1,Corporate Portal,10242.52,0.0,,0.0,Debit Card,Completed,,
101190,589,Customer_589,Individual,2023-07-10,Kochi,None,34,Velvet Palace,Pune,2,Premium,150,2024-10-01,2024-11-30,2024-12-02,Suite,0,2,Travel Agent,17156.78,0.0,NONE,0.0,Net Banking,Completed,5.0,2024-12-13
101351,294,Customer_294,Individual,2023-04-20,Jaipur,None,20,Banyan Heights,Chennai,2,Mid-Range,80,2024-05-15,2024-06-09,2024-06-10,Standard,0,1,Travel Agent,4289.81,395.26,SAVE10,0.0,UPI,Completed,5.0,2024-06-18
101580,103,Customer_103,Corporate,2023-11-17,Jaipur,Gold,17,Indigo Palace,Udaipur,3,Budget,100,2024-08-08,2024-08-15,2024-08-18,Standard,0,3,Corporate Portal,2669.01,0.0,NONE,0.0,Debit Card,Completed,5.0,2024-08-31
101625,768,Customer_768,Individual,2022-09-18,Mumbai,Platinum,37,Olive Lodge,Udaipur,3,Budget,40,2024-06-12,2024-06-27,2024-07-02,Suite,0,5,Direct Website,5312.74,0.0,NONE,0.0,UPI,Completed,4.0,2024-07-18
101760,225,Customer_225,Individual,2022-09-08,Jaipur,Gold,43,Indigo Lodge,Bangalore,3,Mid-Range,100,2024-01-09,2024-01-11,2024-01-14,Deluxe,0,3,Direct Website,6315.99,0.0,,0.0,UPI,Completed,3.0,2024-01-31
101802,737,Customer_737,Group,2022-04-13,Udaipur,Gold,58,Velvet Stay,Jaipur,3,Premium,60,2024-06-03,2024-06-05,2024-06-08,Standard,0,3,Corporate Portal,7140.21,0.0,NONE,0.0,Net Banking,Cancelled,,
